GEO.id,GEO.id2,GEO.display-label,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04
Id,Id2,Geography,Estimate; Median age -- - Total:,Margin of Error; Median age -- - Total:,Estimate; Median age -- - Male,Margin of Error; Median age -- - Male,Estimate; Median age -- - Female,Margin of Error; Median age -- - Female
0500000US39085,39085,"Lake County, Ohio",44.0,0.4,42.1,0.8,45.8,0.5
0500000US39089,39089,"Licking County, Ohio",40.0,0.6,39.2,1.0,40.7,0.6
0500000US39093,39093,"Lorain County, Ohio",42.2,0.5,40.4,0.6,43.5,0.5
0500000US39095,39095,"Lucas County, Ohio",37.7,0.4,36.4,0.5,39.4,0.6
0500000US39099,39099,"Mahoning County, Ohio",43.2,0.5,41.1,0.9,45.7,0.3
0500000US39101,39101,"Marion County, Ohio",42.3,0.9,41.0,2.2,43.2,1.8
0500000US39103,39103,"Medina County, Ohio",41.9,0.5,41.1,0.6,43.3,0.7
0500000US39109,39109,"Miami County, Ohio",41.4,1.0,40.3,1.0,43.2,1.3
0500000US39113,39113,"Montgomery County, Ohio",39.4,0.4,37.6,0.4,41.0,0.5
0500000US39119,39119,"Muskingum County, Ohio",40.3,1.7,37.5,1.3,42.1,0.8
0500000US39133,39133,"Portage County, Ohio",37.9,0.6,37.3,0.6,38.7,0.7
0500000US39139,39139,"Richland County, Ohio",42.0,0.6,40.1,1.0,43.5,0.5
0500000US39141,39141,"Ross County, Ohio",40.9,1.2,38.4,0.6,43.8,0.6
0500000US39145,39145,"Scioto County, Ohio",39.8,1.2,36.4,0.6,43.4,1.9
0500000US39151,39151,"Stark County, Ohio",42.1,0.5,40.7,0.6,44.0,0.4
0500000US39153,39153,"Summit County, Ohio",40.8,0.4,39.1,0.5,42.5,0.4
0500000US39155,39155,"Trumbull County, Ohio",44.8,0.3,43.1,0.7,46.4,0.7
0500000US39157,39157,"Tuscarawas County, Ohio",41.3,1.1,39.9,0.7,43.3,1.4
0500000US39165,39165,"Warren County, Ohio",39.3,0.7,38.1,0.6,40.6,1.0
0500000US39169,39169,"Wayne County, Ohio",38.4,0.9,37.0,1.0,40.7,1.4
0500000US39173,39173,"Wood County, Ohio",35.1,0.6,33.4,0.8,36.3,0.4
0500000US40017,40017,"Canadian County, Oklahoma",35.9,0.4,35.5,0.6,36.3,0.7
0500000US40027,40027,"Cleveland County, Oklahoma",34.4,0.4,33.4,0.4,35.1,0.5
0500000US40031,40031,"Comanche County, Oklahoma",33.5,0.7,32.0,0.9,35.0,0.6
0500000US40037,40037,"Creek County, Oklahoma",38.8,0.7,38.1,0.9,39.9,1.9
0500000US40101,40101,"Muskogee County, Oklahoma",37.8,1.0,36.3,1.5,38.4,1.0
0500000US40109,40109,"Oklahoma County, Oklahoma",34.6,0.2,33.6,0.3,35.7,0.2
0500000US40119,40119,"Payne County, Oklahoma",26.6,0.5,26.1,0.8,28.1,1.3
0500000US40125,40125,"Pottawatomie County, Oklahoma",38.1,0.6,37.1,1.3,39.7,1.1
0500000US40131,40131,"Rogers County, Oklahoma",39.1,0.6,38.0,0.9,40.1,0.7
0500000US40143,40143,"Tulsa County, Oklahoma",35.7,0.2,34.4,0.2,37.0,0.3
0500000US40145,40145,"Wagoner County, Oklahoma",38.2,0.7,38.1,1.0,38.5,1.3
0500000US41003,41003,"Benton County, Oregon",32.0,0.5,31.7,0.6,32.8,1.9
0500000US41005,41005,"Clackamas County, Oregon",41.6,0.4,40.7,0.7,42.6,0.7
0500000US41017,41017,"Deschutes County, Oregon",43.0,0.5,42.7,0.7,43.6,1.3
0500000US41019,41019,"Douglas County, Oregon",47.1,0.8,45.5,0.7,49.1,1.0
0500000US41029,41029,"Jackson County, Oregon",43.2,0.5,41.6,1.0,44.5,0.5
0500000US41033,41033,"Josephine County, Oregon",47.7,1.2,45.3,1.3,50.1,1.0
0500000US41035,41035,"Klamath County, Oregon",42.9,1.1,42.5,0.8,44.1,2.4
0500000US41039,41039,"Lane County, Oregon",39.5,0.4,37.8,0.5,41.4,0.8
0500000US41043,41043,"Linn County, Oregon",40.3,0.8,40.5,1.2,40.2,1.0
0500000US41047,41047,"Marion County, Oregon",36.7,0.3,35.4,0.4,37.6,0.5
0500000US41051,41051,"Multnomah County, Oregon",37.3,0.2,36.9,0.3,37.7,0.4
0500000US41053,41053,"Polk County, Oregon",36.4,0.9,34.6,2.3,38.4,0.9
0500000US41059,41059,"Umatilla County, Oregon",36.1,1.1,35.2,1.1,36.7,1.0
0500000US41067,41067,"Washington County, Oregon",36.9,0.2,36.3,0.3,37.8,0.5
0500000US41071,41071,"Yamhill County, Oregon",37.9,1.1,36.2,1.4,40.3,1.5
